"","major","year_in_school","vote_status_2018","vote_status_2016","vote_intention_2020","voter_identity","feelings_on_voter_importance","desire_to_be_more_engaged","feelings_on_STEM_turnout","free_response","given_turnout_explanation","STEM_representation_better_gov","stem_dummy"
"375","CH E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","","The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"376","CH E","Undergraduate, 1st year","Was not eligible","Was not eligible","No","No","Somewhat disagree","No","No"," STEM majors lean more towards the individual freedom ideals and are libertarian at a higher rate. Stem majors can think and realize an individual vote will not actually make any change to the current corrupt system. ","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"377","CH E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","No","We’re too busy studying and solving actual problems ","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"378","CH E","Undergraduate, 5th year or later","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","I believe that there is not a strong push from many of your peers to go vote because they are not as passionate about politics as there are no right answers in politics. I also feel that STEM majors feel that their voice will not matter because the impact of one vote will not make or break things.","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"379","CH E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","Yes","No","I think there is a culture that is prevalent within those majors that is hesitant to have a multifaceted personality. ""You can tell they don't really care about (stem subject) because they are so political""  ","Lack of time due to course load,The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"380","CH E","Undergraduate, 2nd year","Yes","Was not eligible","No","No","Somewhat agree","Yes","No","STEAM Majors do not get involved in politics as much because it doesn’t matter ","The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"385","CHEM","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","STEM majors are busier than other majors","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"386","CHEM","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","They have other things to focus on, so voting is very low on their priorities.","Lack of time due to course load,The belief that government and who is elected to it aren't important","Definitely not","Stem"
"387","CHEM","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","They try to avoid getting bogged down by opinions.","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"388","CHEM","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Strongly Agree","No","No","Less care about politics","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"389","CHEM","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","Yes","No","They probably just don't care as much. ","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"390","CHEM","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"391","CHEM","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Not having the time available due to class or homework","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"392","CHEM","Undergraduate, 1st year","No","Was not eligible","No","No","Somewhat agree","Yes","No","Less concerned with politics, too busy to think about it maybe","Lack of time due to course load,Lack of discussion on these topics in classes","Might or might not","Stem"
"409","COM S","Undergraduate, 1st year","No","Yes","Yes","No","Strongly Agree","Yes","No","","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"410","COM S","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","No","Yes","Maybe they just don’t care?","Lack of discussion on these topics in classes","Probably yes","Stem"
"411","COM S","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Possibly less social than other majors","Lack of time due to course load","Probably not","Stem"
"412","COM S","Undergraduate, 5th year or later","No","Yes","Yes","No","Somewhat agree","Yes","No","Partially because the area of interest and of study is more removed from the political realm than other majors (like those in the humanities and social sciences tend to be).  It also may be because the STEM majors can tend to have difficult workloads so that there is not enough time to stay informed on political matters (especially since the class subject material often fails to even bring political topics into the students' consciousness).","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"413","COM S","Undergraduate, 2nd year","No","Yes","Yes","Yes","Strongly Agree","Yes","No","Most of us are more focused on research or work. Most of us are liberal, liberals traditionally have lower voting rate.","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"414","COM S","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"415","COM S","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Somewhat agree","No","No","STEM majors don't care","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"416","COM S","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of time due to course load","Definitely yes","Stem"
"417","COM S","Transferred, undergraduate - equivalent to 3rd year or later","No","Yes","Yes","Yes","Strongly Agree","Yes","No","Not sure, might not be busy with other things. I'm not sure the correlation is necessarily causation in this case","Lack of time due to course load","Probably yes","Stem"
"418","COM S","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"419","COM S","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Somewhat agree","Yes","Yes","Apathy","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
